"","chk_acct","duration","credit_his","purpose","amount","saving_acct","present_emp","installment_rate","sex_status","other_debtor","present_resid","property","age","other_install","housing","n_credits","job","n_people","telephone","foreign","response"
"36","CC [0 - 200 €]",45,"existing credits paid back duly till now","radio/television",4746,"< 100 €","< 1 Y",">35%","male:single","none","res_[1- res >7Y)","Savings agreement/life insurance",25,"No credits","own","2","j_unskilled","1","none","yes","1"
"37","No account",48,"existing credits paid back duly till now","education",6110,"< 100 €","[1 - 4) Y","<[20- 25)0%","male:single","none","res_[res >7Y- 7)","unknown / no property",31,"Other banks","for free","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"38","CC >= 200 €",18,"no credits taken/all credits paid back duly","radio/television",2100,"< 100 €","[1 - 4) Y",">35%","male:single","co-applicant","res_[1- res >7Y)","real estate",37,"Credit stores","own","1","j_skilled employee/official","1","none","yes","1"
"39","CC >= 200 €",10,"no credits taken/all credits paid back duly","domestic appliances",1225,"< 100 €","[1 - 4) Y","[20- 25)","male:single","none","res_[1- res >7Y)","car or other",37,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"40","CC [0 - 200 €]",9,"no credits taken/all credits paid back duly","radio/television",458,"< 100 €","[1 - 4) Y",">35%","male:single","none","res_[res >7Y- 7)","real estate",24,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"41","No account",30,"no credits taken/all credits paid back duly","radio/television",2333,"[500 - 1000)",">= 7 Y",">35%","male:single","none","res_[1- res >7Y)","car or other",30,"Other banks","own","1","j_management/self-employed/highly qualified employee/ officer","1","none","yes","0"
"42","CC [0 - 200 €]",12,"no credits taken/all credits paid back duly","radio/television",1158,"[500 - 1000)","[1 - 4) Y","[25- 35)","male:divorced/separated","none","res < 1Y","car or other",26,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"43","CC [0 - 200 €]",18,"all credits at this bank paid back duly","repairs",6204,"< 100 €","[1 - 4) Y","[20- 25)","male:single","none","res >7Y","real estate",44,"No credits","own","1","j_unskilled","2","yes, registered under the customers name","yes","0"
"44","CC < 0 €",30,"existing credits paid back duly till now","car (used)",6187,"[100 - 500)","[4 - 7) Y","<[20- 25)0%","male:married/widowed","none","res >7Y","car or other",24,"No credits","rent","2","j_skilled employee/official","1","none","yes","0"
"45","CC < 0 €",48,"existing credits paid back duly till now","car (used)",6143,"< 100 €",">= 7 Y",">35%","female:divorced/separated/married","none","res >7Y","unknown / no property",58,"Credit stores","for free","2","j_unskilled","1","none","yes","1"
"46","No account",11,"existing credits paid back duly till now","car (new)",1393,"< 100 €","< 1 Y",">35%","female:divorced/separated/married","none","res >7Y","car or other",35,"No credits","own","2","j_management/self-employed/highly qualified employee/ officer","1","none","yes","0"
"47","No account",36,"no credits taken/all credits paid back duly","radio/television",2299,"[500 - 1000)",">= 7 Y",">35%","male:single","none","res >7Y","car or other",39,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"48","CC < 0 €",6,"no credits taken/all credits paid back duly","car (used)",1352,"[500 - 1000)","unemployed","<[20- 25)0%","female:divorced/separated/married","none","res_[1- res >7Y)","Savings agreement/life insurance",23,"No credits","rent","1","j_unemployed","1","yes, registered under the customers name","yes","0"
"49","No account",11,"existing credits paid back duly till now","car (new)",7228,"< 100 €","[1 - 4) Y","<[20- 25)0%","male:single","none","res >7Y","Savings agreement/life insurance",39,"No credits","own","2","j_unskilled","1","none","yes","0"
"50","No account",12,"no credits taken/all credits paid back duly","radio/television",2073,"[100 - 500)","[1 - 4) Y",">35%","female:divorced/separated/married","co-applicant","res_[1- res >7Y)","real estate",28,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"51","CC [0 - 200 €]",24,"all credits at this bank paid back duly","furniture/equipment",2333,"unknown/ no savings account","< 1 Y",">35%","male:single","none","res_[1- res >7Y)","Savings agreement/life insurance",29,"Other banks","own","1","j_unskilled","1","none","yes","0"
"52","CC [0 - 200 €]",27,"all credits at this bank paid back duly","car (used)",5965,"< 100 €",">= 7 Y","<[20- 25)0%","male:single","none","res_[1- res >7Y)","car or other",30,"No credits","own","2","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","0"
"53","No account",12,"no credits taken/all credits paid back duly","radio/television",1262,"< 100 €","[1 - 4) Y","[25- 35)","male:single","none","res_[1- res >7Y)","car or other",25,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"54","No account",18,"no credits taken/all credits paid back duly","car (used)",3378,"unknown/ no savings account","[1 - 4) Y","[20- 25)","male:single","none","res < 1Y","Savings agreement/life insurance",31,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"55","CC [0 - 200 €]",36,"all credits at this bank paid back duly","car (new)",2225,"< 100 €",">= 7 Y",">35%","male:single","none","res >7Y","unknown / no property",57,"Other banks","for free","2","j_skilled employee/official","1","yes, registered under the customers name","yes","1"
"56","No account",6,"critical account in other  bank","car (new)",783,"unknown/ no savings account","[1 - 4) Y","<[20- 25)0%","male:single","guarantor","res_[1- res >7Y)","real estate",26,"Credit stores","own","1","j_unskilled","2","none","yes","0"
"57","CC [0 - 200 €]",12,"no credits taken/all credits paid back duly","radio/television",6468,"unknown/ no savings account","unemployed","[20- 25)","male:single","none","res < 1Y","unknown / no property",52,"No credits","own","1","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","1"
"58","No account",36,"existing credits paid back duly till now","radio/television",9566,"< 100 €","[1 - 4) Y","[20- 25)","female:divorced/separated/married","none","res_[1- res >7Y)","car or other",31,"Credit stores","own","2","j_skilled employee/official","1","none","yes","0"
"59","CC >= 200 €",18,"no credits taken/all credits paid back duly","car (new)",1961,"< 100 €",">= 7 Y","[25- 35)","female:divorced/separated/married","none","res_[1- res >7Y)","car or other",23,"No credits","own","1","j_management/self-employed/highly qualified employee/ officer","1","none","yes","0"
"60","CC < 0 €",36,"existing credits paid back duly till now","furniture/equipment",6229,"< 100 €","< 1 Y",">35%","female:divorced/separated/married","co-applicant","res >7Y","unknown / no property",23,"No credits","rent","2","j_unskilled","1","yes, registered under the customers name","yes","1"
"61","CC [0 - 200 €]",9,"no credits taken/all credits paid back duly","business",1391,"< 100 €","[1 - 4) Y","[20- 25)","male:married/widowed","none","res < 1Y","real estate",27,"Other banks","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"62","CC [0 - 200 €]",15,"existing credits paid back duly till now","radio/television",1537,"unknown/ no savings account",">= 7 Y",">35%","male:single","guarantor","res >7Y","real estate",50,"No credits","own","2","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"63","CC [0 - 200 €]",36,"delay in paying off","business",1953,"< 100 €",">= 7 Y",">35%","male:single","none","res >7Y","unknown / no property",61,"No credits","for free","1","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","1"
"64","CC [0 - 200 €]",48,"delay in paying off","business",14421,"< 100 €","[1 - 4) Y","[20- 25)","male:single","none","res_[1- res >7Y)","car or other",25,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","1"
"65","No account",24,"no credits taken/all credits paid back duly","radio/television",3181,"< 100 €","< 1 Y",">35%","female:divorced/separated/married","none","res >7Y","Savings agreement/life insurance",26,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"66","No account",27,"no credits taken/all credits paid back duly","repairs",5190,"unknown/ no savings account",">= 7 Y",">35%","male:single","none","res >7Y","Savings agreement/life insurance",48,"No credits","own","4","j_skilled employee/official","2","yes, registered under the customers name","yes","0"
"67","No account",12,"no credits taken/all credits paid back duly","radio/television",2171,"< 100 €","< 1 Y","[20- 25)","female:divorced/separated/married","none","res_[1- res >7Y)","car or other",29,"Other banks","own","1","j_skilled employee/official","1","none","yes","0"
"68","CC [0 - 200 €]",12,"no credits taken/all credits paid back duly","car (new)",1007,">= 1000 €","[1 - 4) Y",">35%","male:married/widowed","none","res < 1Y","real estate",22,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"69","No account",36,"no credits taken/all credits paid back duly","education",1819,"< 100 €","[1 - 4) Y",">35%","male:single","none","res >7Y","unknown / no property",37,"Credit stores","for free","1","j_skilled employee/official","1","yes, registered under the customers name","yes","1"
"70","No account",36,"no credits taken/all credits paid back duly","radio/television",2394,"unknown/ no savings account","[1 - 4) Y",">35%","female:divorced/separated/married","none","res >7Y","car or other",25,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"71","No account",36,"no credits taken/all credits paid back duly","car (used)",8133,"< 100 €","[1 - 4) Y","<[20- 25)0%","female:divorced/separated/married","none","res_[1- res >7Y)","Savings agreement/life insurance",30,"Other banks","own","1","j_skilled employee/official","1","none","yes","0"
"72","No account",7,"existing credits paid back duly till now","radio/television",730,"unknown/ no savings account",">= 7 Y",">35%","male:single","none","res_[1- res >7Y)","Savings agreement/life insurance",46,"No credits","rent","2","j_unskilled","1","yes, registered under the customers name","yes","0"
"73","CC < 0 €",8,"existing credits paid back duly till now","car (used)0",1164,"< 100 €",">= 7 Y","[25- 35)","male:single","none","res >7Y","unknown / no property",51,"Other banks","for free","2","j_management/self-employed/highly qualified employee/ officer","2","yes, registered under the customers name","yes","0"
"74","CC [0 - 200 €]",42,"existing credits paid back duly till now","business",5954,"< 100 €","[4 - 7) Y","[20- 25)","female:divorced/separated/married","none","res < 1Y","real estate",41,"Other banks","own","2","j_unskilled","1","none","yes","0"
"75","CC < 0 €",36,"no credits taken/all credits paid back duly","education",1977,"unknown/ no savings account",">= 7 Y",">35%","male:single","none","res >7Y","unknown / no property",40,"No credits","own","1","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","1"
"76","CC < 0 €",12,"existing credits paid back duly till now","car (used)",1526,"< 100 €",">= 7 Y",">35%","male:single","none","res >7Y","unknown / no property",66,"No credits","for free","2","j_management/self-employed/highly qualified employee/ officer","1","none","yes","0"
"77","CC < 0 €",42,"no credits taken/all credits paid back duly","radio/television",3965,"< 100 €","< 1 Y",">35%","male:single","none","res_[res >7Y- 7)","car or other",34,"No credits","own","1","j_skilled employee/official","1","none","yes","1"
"78","CC [0 - 200 €]",11,"all credits at this bank paid back duly","radio/television",4771,"< 100 €","[4 - 7) Y","[20- 25)","male:single","none","res >7Y","Savings agreement/life insurance",51,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"79","No account",54,"delay in paying off","car (used)",9436,"unknown/ no savings account","[1 - 4) Y","[20- 25)","male:single","none","res_[1- res >7Y)","Savings agreement/life insurance",39,"No credits","own","1","j_unskilled","2","none","yes","0"
"80","CC [0 - 200 €]",30,"no credits taken/all credits paid back duly","furniture/equipment",3832,"< 100 €","< 1 Y","[20- 25)","male:married/widowed","none","res < 1Y","Savings agreement/life insurance",22,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"81","No account",24,"no credits taken/all credits paid back duly","radio/television",5943,"unknown/ no savings account","< 1 Y","<[20- 25)0%","female:divorced/separated/married","none","res < 1Y","car or other",44,"No credits","own","2","j_skilled employee/official","1","yes, registered under the customers name","yes","1"
"82","No account",15,"no credits taken/all credits paid back duly","radio/television",1213,"[500 - 1000)",">= 7 Y",">35%","male:single","none","res_[res >7Y- 7)","Savings agreement/life insurance",47,"Credit stores","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"83","No account",18,"no credits taken/all credits paid back duly","business",1568,"[100 - 500)","[1 - 4) Y","[25- 35)","female:divorced/separated/married","none","res >7Y","Savings agreement/life insurance",24,"No credits","rent","1","j_unskilled","1","none","yes","0"
"84","CC < 0 €",24,"no credits taken/all credits paid back duly","car (used)0",1755,"< 100 €",">= 7 Y",">35%","female:divorced/separated/married","guarantor","res >7Y","real estate",58,"No credits","own","1","j_unskilled","1","yes, registered under the customers name","yes","0"
"85","CC < 0 €",10,"no credits taken/all credits paid back duly","radio/television",2315,"< 100 €",">= 7 Y","[25- 35)","male:single","none","res >7Y","real estate",52,"No credits","own","1","j_unskilled","1","none","yes","0"
"86","No account",12,"existing credits paid back duly till now","business",1412,"< 100 €","[1 - 4) Y",">35%","female:divorced/separated/married","guarantor","res_[1- res >7Y)","real estate",29,"No credits","own","2","j_management/self-employed/highly qualified employee/ officer","1","yes, registered under the customers name","yes","0"
"87","CC [0 - 200 €]",18,"existing credits paid back duly till now","furniture/equipment",1295,"< 100 €","< 1 Y",">35%","female:divorced/separated/married","none","res < 1Y","Savings agreement/life insurance",27,"No credits","own","2","j_skilled employee/official","1","none","yes","0"
"88","CC [0 - 200 €]",36,"no credits taken/all credits paid back duly","education",12612,"[100 - 500)","[1 - 4) Y","<[20- 25)0%","male:single","none","res >7Y","unknown / no property",47,"No credits","for free","1","j_skilled employee/official","2","yes, registered under the customers name","yes","1"
"89","CC < 0 €",18,"no credits taken/all credits paid back duly","car (new)",2249,"[100 - 500)","[4 - 7) Y",">35%","male:single","none","res_[res >7Y- 7)","car or other",30,"No credits","own","1","j_management/self-employed/highly qualified employee/ officer","2","yes, registered under the customers name","yes","0"
"90","CC < 0 €",12,"delay in paying off","repairs",1108,"< 100 €","[4 - 7) Y",">35%","male:single","none","res_[res >7Y- 7)","real estate",28,"No credits","own","2","j_skilled employee/official","1","none","yes","1"
"91","No account",12,"existing credits paid back duly till now","radio/television",618,"< 100 €",">= 7 Y",">35%","male:single","none","res >7Y","real estate",56,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"92","CC < 0 €",12,"existing credits paid back duly till now","car (used)",1409,"< 100 €",">= 7 Y",">35%","male:single","none","res_[res >7Y- 7)","real estate",54,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"93","No account",12,"existing credits paid back duly till now","radio/television",797,"unknown/ no savings account",">= 7 Y",">35%","female:divorced/separated/married","none","res_[res >7Y- 7)","Savings agreement/life insurance",33,"Other banks","own","1","j_unskilled","2","none","yes","1"
"94","CC >= 200 €",24,"existing credits paid back duly till now","furniture/equipment",3617,"unknown/ no savings account",">= 7 Y",">35%","male:single","co-applicant","res >7Y","unknown / no property",20,"No credits","rent","2","j_skilled employee/official","1","none","yes","0"
"95","CC [0 - 200 €]",12,"no credits taken/all credits paid back duly","car (new)",1318,">= 1000 €",">= 7 Y",">35%","male:single","none","res >7Y","real estate",54,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"96","CC [0 - 200 €]",54,"delay in paying off","business",15945,"< 100 €","< 1 Y","[25- 35)","male:single","none","res >7Y","unknown / no property",58,"No credits","rent","1","j_skilled employee/official","1","yes, registered under the customers name","yes","1"
"97","No account",12,"existing credits paid back duly till now","education",2012,"unknown/ no savings account","[4 - 7) Y",">35%","female:divorced/separated/married","none","res_[1- res >7Y)","car or other",61,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"98","CC [0 - 200 €]",18,"no credits taken/all credits paid back duly","business",2622,"[100 - 500)","[1 - 4) Y",">35%","male:single","none","res >7Y","car or other",34,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"99","CC [0 - 200 €]",36,"existing credits paid back duly till now","radio/television",2337,"< 100 €",">= 7 Y",">35%","male:single","none","res >7Y","real estate",36,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"100","CC [0 - 200 €]",20,"all credits at this bank paid back duly","car (used)",7057,"unknown/ no savings account","[4 - 7) Y","[25- 35)","male:single","none","res >7Y","Savings agreement/life insurance",36,"Other banks","rent","2","j_management/self-employed/highly qualified employee/ officer","2","yes, registered under the customers name","yes","0"
"101","No account",24,"no credits taken/all credits paid back duly","car (new)",1469,"[100 - 500)",">= 7 Y",">35%","male:married/widowed","none","res >7Y","real estate",41,"No credits","rent","1","j_unskilled","1","none","yes","0"
"102","CC [0 - 200 €]",36,"no credits taken/all credits paid back duly","radio/television",2323,"< 100 €","[4 - 7) Y",">35%","male:single","none","res >7Y","car or other",24,"No credits","rent","1","j_skilled employee/official","1","none","yes","0"
"103","No account",6,"all credits at this bank paid back duly","radio/television",932,"< 100 €","[1 - 4) Y","[25- 35)","female:divorced/separated/married","none","res_[1- res >7Y)","real estate",24,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"104","CC [0 - 200 €]",9,"existing credits paid back duly till now","furniture/equipment",1919,"< 100 €","[4 - 7) Y",">35%","male:single","none","res_[res >7Y- 7)","car or other",35,"No credits","rent","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"105","No account",12,"no credits taken/all credits paid back duly","car (used)",2445,"unknown/ no savings account","< 1 Y","[20- 25)","male:married/widowed","none","res >7Y","car or other",26,"No credits","rent","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"106","CC [0 - 200 €]",24,"existing credits paid back duly till now","car (used)0",11938,"< 100 €","[1 - 4) Y","[20- 25)","male:single","co-applicant","res_[res >7Y- 7)","car or other",39,"No credits","own","2","j_management/self-employed/highly qualified employee/ officer","2","yes, registered under the customers name","yes","1"
"107","No account",18,"critical account in other  bank","car (new)",6458,"< 100 €",">= 7 Y","[20- 25)","male:single","none","res >7Y","unknown / no property",39,"Other banks","own","2","j_management/self-employed/highly qualified employee/ officer","2","yes, registered under the customers name","yes","1"
"108","CC [0 - 200 €]",12,"no credits taken/all credits paid back duly","car (new)",6078,"< 100 €","[4 - 7) Y","[20- 25)","male:single","none","res_[1- res >7Y)","car or other",32,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"109","CC < 0 €",24,"no credits taken/all credits paid back duly","furniture/equipment",7721,"unknown/ no savings account","< 1 Y","<[20- 25)0%","female:divorced/separated/married","none","res_[1- res >7Y)","Savings agreement/life insurance",30,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","no","0"
"110","CC [0 - 200 €]",14,"no credits taken/all credits paid back duly","business",1410,"[500 - 1000)",">= 7 Y","<[20- 25)0%","male:married/widowed","none","res_[1- res >7Y)","real estate",35,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"111","CC [0 - 200 €]",6,"all credits at this bank paid back duly","business",1449,"[100 - 500)",">= 7 Y","<[20- 25)0%","male:divorced/separated","none","res_[1- res >7Y)","car or other",31,"Other banks","own","2","j_skilled employee/official","2","none","yes","0"
"112","CC >= 200 €",15,"no credits taken/all credits paid back duly","education",392,"< 100 €","< 1 Y",">35%","female:divorced/separated/married","none","res >7Y","Savings agreement/life insurance",23,"No credits","rent","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
"113","CC [0 - 200 €]",18,"no credits taken/all credits paid back duly","car (new)",6260,"< 100 €","[4 - 7) Y","[25- 35)","male:single","none","res_[res >7Y- 7)","real estate",28,"No credits","rent","1","j_unskilled","1","none","yes","0"
"114","No account",36,"existing credits paid back duly till now","car (new)",7855,"< 100 €","[1 - 4) Y",">35%","female:divorced/separated/married","none","res_[1- res >7Y)","real estate",25,"Credit stores","own","2","j_skilled employee/official","1","yes, registered under the customers name","yes","1"
"115","CC < 0 €",12,"no credits taken/all credits paid back duly","radio/television",1680,"[500 - 1000)",">= 7 Y","[25- 35)","male:married/widowed","none","res < 1Y","real estate",35,"No credits","own","1","j_skilled employee/official","1","none","yes","0"
"116","No account",48,"existing credits paid back duly till now","radio/television",3578,"unknown/ no savings account",">= 7 Y",">35%","male:single","none","res < 1Y","real estate",47,"No credits","own","1","j_skilled employee/official","1","yes, registered under the customers name","yes","0"
